,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,Sample
1,7.705762982,0.991449117,0.023529412,41.73333333,1.048192771,43.5,5,68.71382293,0.781410101,0.869809404,41.60576923,5,0.999949882,50.6,11,56.8,9,5,0,WBC
2,296.6765314,3.069243717,0.515789474,55.275,3.130434783,108,155,271.8024009,0.885942626,0.820492847,56.55168269,5,0.893470264,76.3,8,668.3,9,25,0.037782722,WBC
3,537.4848843,1.001452451,0.058823529,42.8,1.125,40.5,280,75.63384314,0.843339557,0.835148931,42.07692308,5,0.999242687,50.5,7,36.6,11,3,0,WBC
4,701.2356073,1.130060833,0.107526882,46.26666667,1.240963855,51.5,365,90.18768115,0.705554456,0.846168607,47.64583333,5,0.999203821,60.4,6,62.7,7,11,0.021176212,WBC
5,720.5000147,0.995127944,0.023255814,39.875,1.047619048,44,375,65.61814656,0.847417542,0.831938232,44.89423077,4.5,0.98908818,73.4,9,40.5,8,7,0,WBC
6,768.661499,1.30422785,0.135135135,43.27142857,1.3125,42,400,89.21141388,0.877270312,0.864885931,44.68681319,4,0.998181703,65.4,7,121.2,8,8,0.038700455,WBC
7,797.5595072,1.02262832,0.03030303,34.71428571,1.0625,42.5,415,57.93713952,0.836032457,0.911274007,38.79120879,5,0.999787428,45.5,9,49.7,8,3,0,WBC
8,855.3536609,1.162680795,0.111111111,43.6625,1.25,52.5,445,85.73111827,0.891955322,0.894780068,47.65985577,4.5,0.999968146,62.8,7,56.5,12,7,0.016292135,WBC
9,932.412222,1.295307785,0.13368984,42.4,1.308641975,53,485,87.15786434,0.85416253,0.873109427,44.05288462,4.5,0.999188943,57.9,11,62.6,7,17,0.036176471,WBC
10,951.6766295,1.505373767,0.205357143,52.98,1.516853933,67.5,495,126.2337817,0.921153374,0.922193078,53.87307692,5,0.995786866,50.8,7,91.7,9,12,0.019589056,WBC
11,1028.734259,1.53586564,0.219047619,51.5,1.56097561,64,535,126.2766998,0.874542882,0.881052433,55.30961538,4.5,0.994198986,78.3,11,92.3,7,7,0.043271162,WBC
12,1076.897606,1.358014706,0.227272727,42.425,1.588235294,54,560,105.8416425,0.910873277,0.876393433,45.22596154,7,0.992168238,109,14,86.2,8,24,0.050992626,WBC
13,1126.985066,0.955484126,0.005714286,41.9,1.011494253,44,586,66.57287605,0.872640512,0.224301116,45.07051282,4.5,0.999951021,71.3,7,43.5,13,0,0,WBC
14,1298.441552,1.125177886,0.069518717,44.9,1.149425287,50,675,81.06753457,0.869589753,0.869589753,47.60961538,4,0.999962873,50.3,9,44.3,10,3,0,WBC
15,1394.76452,1.197097323,0.10982659,43.36,1.246753247,48,725,84.91602543,0.868729304,0.846211021,43.52884615,4,0.999622113,62,7,63.5,9,5,0.062537463,WBC
16,1625.941135,1.106711517,0.06010929,43.24,1.127906977,48.5,845,76.60883276,0.907290931,0.907290931,46.57307692,5,0.999629984,55.5,3,46.2,11,3,0,WBC
17,1722.264104,0.96662048,0.028248588,41.1,1.058139535,45.5,895,68.31320165,0.867703306,0.892056079,45.65264423,5,0.998950519,59.9,7,50.5,6,4,0,WBC
18,2042.057924,1.223879889,0.108695652,44.225,1.243902439,51,1061,86.41199622,0.904129408,0.927342769,49.01442308,4,0.994909942,53.4,15,50.8,4,7,0,WBC
19,2088.294365,1.045869094,0.087179487,44.3,1.191011236,53,1085,82.87803811,0.890237621,0.873004011,45.25240385,4.5,0.995200749,40.5,7,48.3,11,7,0,WBC
20,2203.882672,1.058782344,0.039548023,43.9,1.082352941,46,1145,74.63684947,0.904830265,0.863797877,46.47542735,3,0.998855728,52.5,10,32.8,11,3,0,WBC
21,2261.676826,1.761325069,0.49689441,41.91666667,1.826086957,120.5,1176,120.2342145,0.829051155,0.901029962,48,5,0.803274979,61.9,7,757.8,2,17,0.007116325,WBC
22,2685.500309,1.138919487,0.106382979,47.56666667,1.238095238,52,1395,92.50743701,0.869495382,0.839997182,45.29807692,4,0.996934639,71.5,9,56.3,10,9,0.030538302,WBC
23,2974.471077,1.331939929,0.152542373,48.725,1.36,51,1545,104.0903894,0.825381752,0.825927494,50.89663462,4.5,0.999894079,68.1,8,65.3,13,11,0.06423301,WBC
24,3504.250199,1.157494962,0.099526066,51.8,1.221052632,58,1820,99.3536944,0.907914298,0.853568901,52.77403846,5,0.999354472,64.8,8,64.9,8,10,0,WBC
25,4043.661989,1.057093442,0.097435897,45.12,1.215909091,53.5,2100,86.17674248,0.874761597,0.878506012,44.83653846,5.5,0.998349888,45.8,13,48.5,4,3,0,WBC
26,4207.411781,0.864856174,0.041916168,36.5,1.0875,43.5,2185,62.3507967,0.897118189,0.85887214,45.00240385,4,0.99995521,76.4,10,43.1,10,7,0.020408163,WBC
27,4351.896234,1.180755514,0.10989011,44.83333333,1.24691358,50.5,2260,87.81268601,0.830678025,0.861999907,44.70833333,5,0.992918002,53.7,8,69.4,7,5,0.042564534,WBC
28,4477.118142,1.216428544,0.11,45.34285714,1.247191011,55.5,2325,88.83042329,0.840731573,0.872930864,46.52884615,4,0.996078046,49.9,8,67.1,4,6,0.007662835,WBC
29,4554.176703,1.19118999,0.089820359,40,1.197368421,45.5,2365,75.2328767,0.835136346,0.833949776,42.15064103,4,0.996832102,53.4,7,52.1,7,2,0,WBC
30,4583.07378,1.30410772,0.149758454,47.25,1.352272727,59.5,2380,100.3658528,0.921824279,0.925418399,51.33974359,5,0.998009647,57.8,10,65.5,7,9,0,WBC
